Model,Train MAE,Train RMSE,Train R²,Val MAE,Val RMSE,Val R²,Test MAE,Test RMSE,Test R²,Spike Accuracy
Linear Regression,1915.2715538690345,2907.193529305027,0.8528108416669681,4085.2635899514194,5167.162281029398,0.7249926063047438,3060.171991675627,4464.784053601708,0.8671695828288519,0.9572872513857189
Random Forest,773.5574027219769,1225.0715085298705,0.9738632963037523,4438.1663791917745,5571.937336363562,0.6802190305998153,3437.464263736067,4910.951390677181,0.8392955544712382,0.9497880665145093
XGBoost,823.4335367011522,1155.7449045280575,0.976737739757969,5590.949139221869,7320.616619975521,0.4480045543055341,4911.103585144511,7093.657028816938,0.6646973438934931,0.9497880665145093
