Model,Train MAE,Train RMSE,Train R²,Val MAE,Val RMSE,Val R²,Test MAE,Test RMSE,Test R²
Linear Regression,0.022150519388783728,0.04328610250350478,0.461023937643515,0.02162477898430961,0.039761725839374255,0.44656261408016484,0.03935216541699528,0.05220672234582343,0.6894188601427209
Random Forest,0.009460665669066523,0.020674008888434323,0.8770518757203417,0.039947861704074085,0.05244753350626911,0.03708449786228496,0.07207795561443765,0.08173915936176562,0.23865314651560865
XGBoost,0.007042173268013729,0.01501179807022813,0.9351756847480931,0.030367736416579416,0.05001697617872495,0.12426460039453835,0.08752527900338143,0.11494332013003736,-0.5055309862586252
