timestep,time,request_rate,replicas,latency_p95,cpu_usage,slo_violated,scaling_action
0,2026-02-27 18:20:36.386537,1049.6714153011233,3,43.49890471767041,95.0,False,1
1,2026-02-27 18:20:46.386552,996.2465466816469,3,43.32082182227216,95.0,False,0
2,2026-02-27 18:20:56.386557,1084.91321038618,3,43.61637736795393,95.0,False,0
3,2026-02-27 18:21:06.386561,1182.5155282046192,3,43.94171842734873,95.0,False,0
4,2026-02-27 18:21:16.386564,1016.8606010276893,3,43.38953533675897,95.0,False,0
5,2026-02-27 18:21:26.386567,1026.919253187391,3,43.4230641772913,95.0,False,0
6,2026-02-27 18:21:36.386569,1218.3032607713915,2,46.091516303856956,95.0,False,1
7,2026-02-27 18:21:46.386572,1147.1649092055188,2,45.735824546027594,95.0,False,0
8,2026-02-27 18:21:56.386575,1033.502289790511,2,45.16751144895255,95.0,False,0
9,2026-02-27 18:22:06.386578,1144.7212699237061,2,45.72360634961853,95.0,False,0
10,2026-02-27 18:22:16.386581,1054.1246906376432,2,45.270623453188215,95.0,False,0
11,2026-02-27 18:22:26.386584,1063.8787504476584,2,45.31939375223829,95.0,False,0
12,2026-02-27 18:22:36.386587,1144.6157072638139,2,45.72307853631907,95.0,False,0
13,2026-02-27 18:22:46.386590,939.0401180217847,2,44.695200590108925,95.0,False,0
14,2026-02-27 18:22:56.386593,967.8043523824681,2,44.83902176191234,95.0,False,0
15,2026-02-27 18:23:06.386595,1093.9731325867665,2,45.469865662933834,95.0,False,0
16,2026-02-27 18:23:16.386598,1058.8007095769933,2,45.29400354788497,95.0,False,0
17,2026-02-27 18:23:26.386601,1201.3651104591672,2,46.00682555229584,95.0,False,0
18,2026-02-27 18:23:36.386604,1088.9675820174646,2,45.44483791008732,95.0,False,0
19,2026-02-27 18:23:46.386607,1048.3407301495693,2,45.241703650747844,95.0,False,0
20,2026-02-27 18:23:56.386610,1345.907032313957,2,46.729535161569785,95.0,False,0
21,2026-02-27 18:24:06.386612,1186.5039757838317,2,45.93251987891916,95.0,False,0
22,2026-02-27 18:24:16.386615,1225.5407278415062,2,46.12770363920753,95.0,False,0
23,2026-02-27 18:24:26.386618,1085.9847025342985,2,45.42992351267149,95.0,False,0
24,2026-02-27 18:24:36.386621,1183.6566413414903,2,45.91828320670745,95.0,False,0
25,2026-02-27 18:24:46.386624,1258.7848166142112,2,46.293924083071055,95.0,False,0
26,2026-02-27 18:24:56.386627,1142.1515733013664,2,45.71075786650683,95.0,False,0
27,2026-02-27 18:25:06.386630,1304.3383203961357,2,46.52169160198068,95.0,False,0
28,2026-02-27 18:25:16.386633,1216.1799422381055,2,46.080899711190526,95.0,False,0
29,2026-02-27 18:25:26.386636,1256.5059318080102,2,46.28252965904005,95.0,False,0
30,2026-02-27 18:25:36.386639,1234.890848692991,2,46.17445424346496,95.0,False,0
31,2026-02-27 18:25:46.386641,1489.6287509298604,2,47.4481437546493,95.0,False,0
32,2026-02-27 18:25:56.386644,1312.3423712826839,2,46.56171185641342,95.0,False,0
33,2026-02-27 18:26:06.386647,1217.162427784497,2,46.085812138922485,95.0,False,0
34,2026-02-27 18:26:16.386650,1414.378239276878,2,47.07189119638439,95.0,False,0
35,2026-02-27 18:26:26.386653,1219.176953852992,2,46.09588476926496,95.0,False,0
36,2026-02-27 18:26:36.386656,1371.2311438138172,2,46.856155719069086,95.0,False,0
37,2026-02-27 18:26:46.386659,1163.4056919291077,2,45.81702845964554,95.0,False,0
38,2026-02-27 18:26:56.386661,1235.5250426387277,2,46.177625213193636,95.0,False,0
39,2026-02-27 18:27:06.386664,1396.9423152353497,2,46.98471157617675,95.0,False,0
40,2026-02-27 18:27:16.386667,1459.9555816357567,2,47.29977790817878,95.0,False,0
41,2026-02-27 18:27:26.386671,1412.0372680533553,2,47.060186340266775,95.0,False,0
42,2026-02-27 18:27:36.386673,1392.0645184519437,2,46.96032259225972,95.0,False,0
43,2026-02-27 18:27:46.386676,1382.1838904208555,2,46.91091945210428,95.0,False,0
44,2026-02-27 18:27:56.386679,1273.0416069848584,2,46.365208034924294,95.0,False,0
45,2026-02-27 18:28:06.386682,1357.4422005605986,2,46.78721100280299,95.0,False,0
46,2026-02-27 18:28:16.386685,1391.8274761828843,2,46.95913738091442,95.0,False,0
47,2026-02-27 18:28:26.386688,1551.998882237854,2,47.75999441118927,95.0,False,0
48,2026-02-27 18:28:36.386692,1488.973038333276,2,47.44486519166638,95.0,False,0
49,2026-02-27 18:28:46.386694,1286.559667207165,2,46.43279833603582,95.0,False,0
50,2026-02-27 18:28:56.386698,1503.4511682670015,2,47.51725584133501,95.0,False,0
51,2026-02-27 18:29:06.386701,1440.6389503323833,2,47.20319475166192,95.0,False,0
52,2026-02-27 18:29:16.386704,1419.4834189380495,2,47.09741709469025,95.0,False,0
53,2026-02-27 18:29:26.386708,1556.2944491253393,2,47.781472245626695,95.0,False,0
54,2026-02-27 18:29:36.386712,1606.0994738171894,2,48.03049736908595,95.0,False,0
55,2026-02-27 18:29:46.386715,1603.9204866808318,2,48.01960243340416,95.0,False,0
