timestamp,request_rate,latency_p50,latency_p95,latency_p99,error_rate,cpu_usage,memory_usage,replica_count
2026-02-11T17:31:26.241349Z,39.90144205,0.002509456,0.004767967,0.004968724,0,2.355649606,194379776,6
2026-02-11T17:32:30.464456Z,17.0119446,0.0025,0.00475,0.00495,0,3.058415916,194379776,6
2026-02-11T17:32:40.464590Z,15.77710002,0.002502765,0.004755253,0.004955474,0,2.159323679,194379776,6
2026-02-11T17:32:50.464474Z,14.23977383,0.002504025,0.004757647,0.004957969,0,2.591280084,194379776,6
2026-02-11T17:33:00.464924Z,22.80820513,0.00251824,0.004784656,0.004986115,0,3.0468111,194383872,6
2026-02-11T18:03:51.317955Z,100.3981804,0.002654903,0.121456819,0.224291364,0.002318461,19.16868052,196579328,6
2026-02-11T18:04:01.318512Z,87.56979008,0.002695103,0.146397067,0.229279413,0.002982433,20.6335328,196608000,6
2026-02-11T18:04:11.318692Z,120.0886422,0.002699093,0.147793307,0.229558661,0.004204103,20.01934889,196354048,6
2026-02-11T18:04:21.319115Z,158.6824625,0.002733362,0.162003661,0.232400732,0.004728342,12.17701851,196354048,6
2026-02-11T18:04:31.319502Z,185.9901602,0.002738322,0.163824862,0.232764972,0.004879893,19.17044829,196337664,6
2026-02-11T18:04:41.319751Z,191.8856407,0.002750921,0.167775298,0.23355506,0.005027514,21.33148941,196382720,6
2026-02-11T18:04:51.320110Z,177.1895455,0.002735458,0.162868002,0.2325736,0.004806313,15.66579961,196382720,6
2026-02-11T18:05:01.320708Z,190.0146717,0.002741412,0.164832002,0.2329664,0.004869634,17.64021897,196395008,6
2026-02-11T18:05:11.321141Z,165.4662474,0.00274023,0.164314182,0.232862836,0.005132449,19.26192094,196366336,6
2026-02-11T18:05:21.321520Z,180.9143815,0.002777626,0.174963168,0.234992634,0.0054775,15.78307153,196366336,6
2026-02-11T18:05:31.321967Z,191.6678834,0.002796321,0.179223953,0.235844791,0.005610331,15.67557376,196390912,6
2026-02-11T18:05:41.321931Z,141.2073789,0.002824079,0.184643715,0.236928743,0.005859854,19.22484483,196399104,6
2026-02-11T18:05:51.322213Z,72.15817329,0.002794553,0.178844149,0.23576883,0.004281974,19.66687559,196902912,6
2026-02-11T18:06:01.322522Z,81.95610873,0.002721656,0.157591541,0.231518308,0.002800471,18.46611525,196902912,6
2026-02-11T18:06:11.322995Z,116.4368837,0.002731666,0.161564601,0.23231292,0.004153013,11.64344823,196399104,6
2026-02-11T18:06:21.323509Z,191.9488279,0.002752251,0.168058599,0.23361172,0.004576444,15.28479004,196423680,6
2026-02-11T18:06:31.323843Z,226.9892963,0.002749643,0.167392655,0.233478531,0.004688234,14.57318331,196423680,6
2026-02-11T18:06:41.324322Z,226.4038566,0.002751652,0.167992373,0.233598475,0.004928313,15.76514162,196669440,6
2026-02-11T18:06:51.324366Z,199.8264496,0.002769656,0.172966847,0.234593369,0.005230612,19.88414787,196423680,6
2026-02-11T18:07:01.324708Z,129.8534251,0.002718384,0.156642044,0.231328409,0.004307094,15.39951041,196423680,6
2026-02-11T18:07:11.324800Z,114.0625298,0.002699886,0.148696563,0.229739313,0.004248814,19.08782013,196440064,6
2026-02-11T18:07:21.325053Z,90.51469705,0.002739367,0.163909789,0.232781958,0.00446086,19.67185544,196460544,6
2026-02-11T18:07:31.325222Z,199.1063787,0.002777671,0.174887367,0.234977473,0.004957918,19.05413903,196980736,6
2026-02-11T18:07:41.325390Z,208.7174126,0.002763754,0.171316543,0.234263206,0.004665656,15.73359687,196980736,6
2026-02-11T18:07:51.325721Z,235.6721205,0.002794023,0.178729452,0.23574589,0.005079031,19.98839451,196460544,6
2026-02-11T18:08:01.326271Z,213.7146795,0.002788335,0.177471414,0.235494283,0.004944642,20.46679762,196456448,6
2026-02-11T18:08:11.326591Z,205.2095173,0.002786825,0.177129093,0.235425819,0.004809309,15.92364462,196456448,6
2026-02-11T18:08:21.327467Z,183.2571117,0.002776604,0.174713516,0.234942703,0.004397342,20.29377845,196718592,6
2026-02-11T18:08:31.327864Z,206.9524975,0.00281617,0.18319647,0.236639294,0.00510316,18.77401743,196456448,6
2026-02-11T18:08:41.328180Z,163.0221471,0.002777987,0.175049812,0.235009767,0.00433617,18.58948335,196456448,6
2026-02-11T18:08:51.328337Z,175.864623,0.002753463,0.168524792,0.233704958,0.004186474,16.4157964,196456448,6
2026-02-11T18:09:01.328749Z,217.3892533,0.002791267,0.178053197,0.235610639,0.004863296,15.94066936,196456448,6
2026-02-11T18:09:11.329075Z,225.437173,0.002793755,0.178599718,0.235719944,0.004956784,21.15805142,196476928,6
2026-02-11T18:09:21.329272Z,229.0530745,0.002781745,0.175877145,0.235175429,0.004929064,15.50122475,196476928,6
2026-02-11T18:09:31.329623Z,264.0223721,0.002796033,0.179162529,0.235832506,0.004907854,20.00535715,196481024,6
2026-02-11T18:09:41.330479Z,205.195463,0.002762264,0.171007263,0.234201453,0.004289354,21.08404843,196476928,6
2026-02-11T18:09:51.330560Z,195.1522688,0.002742927,0.165316306,0.233063261,0.003945809,15.96601123,196476928,6
2026-02-11T18:10:01.330995Z,134.7139099,0.002676458,0.136242593,0.227248519,0.002643862,17.43803124,196493312,6
2026-02-11T18:10:11.331339Z,227.9683626,0.002723111,0.158460316,0.231691849,0.003757311,17.15906821,196476928,6
2026-02-11T18:10:21.331626Z,246.3974036,0.002745876,0.166154628,0.233230926,0.004168702,12.6073019,196476928,6
2026-02-11T18:10:31.332165Z,349.6720851,0.002788221,0.177445826,0.235489165,0.004611587,18.47735235,197943296,6
2026-02-11T18:10:41.332707Z,332.7045049,0.00280941,0.181900752,0.23638015,0.005070994,18.98909555,197947392,6
2026-02-11T18:10:51.332983Z,244.1569792,0.002828598,0.185439318,0.237087864,0.00517355,22.90677947,197939200,6
2026-02-11T18:11:01.333257Z,237.0647142,0.002858689,0.190226236,0.238045247,0.005750787,15.70154156,197939200,6
2026-02-11T18:11:11.333715Z,249.2622737,0.002855984,0.189817001,0.2379634,0.005963779,19.50772346,197935104,6
2026-02-11T18:11:21.334028Z,318.4055121,0.002833402,0.186261551,0.23725231,0.005266581,19.4693038,197939200,6
2026-02-11T18:11:31.334059Z,308.3751471,0.002810737,0.182159535,0.236431907,0.004820424,19.30257625,197939200,6
2026-02-11T18:11:41.334337Z,327.0351604,0.00279269,0.178439079,0.235687816,0.004598867,15.95969977,197947392,6
2026-02-11T18:11:51.334786Z,294.4003448,0.002790156,0.177879645,0.235575929,0.004290777,19.878944,197955584,6
2026-02-11T18:12:01.335390Z,285.9284717,0.002803252,0.180616407,0.236123205,0.005238391,14.79227962,197955584,6
2026-02-11T18:12:11.335912Z,279.0390546,0.002804155,0.180801225,0.236160245,0.005299105,16.18010058,197935104,6
2026-02-11T18:12:21.336066Z,263.2771706,0.002812732,0.182491546,0.236498309,0.005498126,19.18803131,197951488,6
2026-02-11T18:12:31.336522Z,290.1318244,0.002792987,0.178448106,0.235689621,0.005163101,16.59519851,197971968,6
2026-02-11T18:12:41.337243Z,327.3455375,0.002798778,0.179744382,0.235948876,0.004174399,13.0117045,197971968,6
2026-02-11T18:12:51.337518Z,287.9252045,0.002785262,0.176771025,0.235354205,0.004226282,16.21802007,198209536,6
2026-02-11T18:13:01.337557Z,319.0311607,0.002796289,0.179217108,0.235843422,0.004250237,19.68887303,197955584,6
2026-02-11T18:13:11.338081Z,267.8429072,0.002791965,0.17827998,0.235655996,0.004077383,19.67005881,197955584,6
2026-02-11T18:13:21.338558Z,216.6075059,0.00277025,0.173119843,0.234623969,0.003180166,19.52984447,197971968,6
2026-02-11T18:13:31.338889Z,72.25324361,0.002588645,0.004918425,0.206196348,0.000658532,19.91583716,197939200,6
2026-02-11T18:13:41.339118Z,69.50806913,0.002576636,0.004895608,0.199567262,0.001982839,13.08187787,197939200,6
2026-02-11T18:13:51.339386Z,79.31629767,0.002567386,0.00487803,0.192847506,0.002069045,18.9513392,197951488,6
2026-02-11T18:14:01.339734Z,63.45284717,0.002592387,0.004925535,0.207909723,0.003001068,19.31733156,197943296,6
2026-02-11T18:14:11.339848Z,45.01407028,0.002636045,0.104677484,0.220935497,0.004598848,19.68360744,198479872,6
2026-02-11T18:14:21.340372Z,104.0941755,0.00277007,0.172940458,0.234588092,0.005405067,16.2075956,198479872,6
2026-02-11T18:14:31.340601Z,134.8953047,0.002767433,0.172246991,0.234449398,0.005109072,21.31774983,198467584,6
2026-02-11T18:14:41.340962Z,139.941258,0.002745674,0.166025379,0.233205076,0.004596978,20.32983954,197955584,6
2026-02-11T18:14:51.341448Z,275.1912894,0.002815689,0.183054511,0.236610902,0.005431406,20.48591456,197955584,6
2026-02-11T18:15:01.341842Z,368.9931586,0.002840901,0.187498628,0.237499726,0.005515955,21.11796181,197963776,6
2026-02-11T18:15:11.342120Z,332.58512,0.002829768,0.185641759,0.237128352,0.005249955,20.38957418,198221824,6
2026-02-11T18:15:21.342392Z,409.9360216,0.002858327,0.190173481,0.238034696,0.005859144,20.5919827,198221824,6
2026-02-11T18:15:31.342435Z,350.6833428,0.002822038,0.184277117,0.236855423,0.0052251,15.28694869,198217728,6
2026-02-11T18:15:41.342586Z,367.334987,0.00280551,0.181127286,0.236225457,0.005066411,16.51836028,197951488,6
2026-02-11T18:15:51.342986Z,292.3715199,0.002764686,0.171661448,0.23433229,0.004717775,20.42182112,197947392,6
2026-02-11T18:16:01.343669Z,239.4620687,0.002740223,0.164447566,0.232889513,0.004409829,15.75717695,197947392,6
2026-02-11T18:16:11.343362Z,193.7589948,0.002727733,0.160166657,0.232033331,0.004246964,19.79624797,197967872,6
2026-02-11T18:16:21.343761Z,158.2970756,0.002744182,0.165570386,0.233114077,0.004809829,17.56189915,197959680,6
2026-02-11T18:16:31.343938Z,122.8820768,0.0027413,0.164657434,0.232931487,0.004601086,13.98811121,197959680,6
2026-02-11T18:16:41.344355Z,129.9332863,0.002784661,0.176505045,0.235301009,0.004962683,16.9352739,197963776,6
2026-02-11T18:16:51.344516Z,251.8771922,0.002828998,0.185508841,0.237101768,0.005573848,17.55002944,197971968,6
2026-02-11T18:17:01.344654Z,148.3612619,0.002823597,0.184557553,0.236911511,0.005420488,19.61630542,197967872,6
2026-02-11T18:17:11.344768Z,160.5543991,0.002797326,0.179437883,0.235887577,0.004865728,20.0681389,197967872,6
2026-02-11T18:17:21.345243Z,148.4659515,0.002844992,0.18815097,0.237630194,0.005453628,20.45818374,197963776,6
2026-02-11T18:17:31.345543Z,124.3382116,0.002829844,0.185552678,0.237110536,0.004625362,20.06080149,197955584,6
2026-02-11T18:17:41.345959Z,95.84815806,0.002839962,0.187250841,0.237450168,0.004824354,12.63234262,197955584,6
2026-02-11T18:17:51.346384Z,116.9143564,0.002856681,0.189833842,0.237966768,0.005241289,20.0969157,197955584,6
2026-02-11T18:18:01.346971Z,232.9376469,0.002873172,0.192255124,0.238451025,0.005818538,19.66263432,198221824,6
2026-02-11T18:18:11.347450Z,272.3611429,0.002843581,0.18789464,0.237578928,0.005347578,18.65777889,198221824,6
2026-02-11T18:18:21.347798Z,263.6091137,0.002839858,0.187329941,0.237465988,0.005330608,19.1951202,198238208,6
2026-02-11T18:18:31.348004Z,396.3970156,0.002842747,0.187794944,0.237558989,0.005398621,19.00856301,197963776,6
2026-02-11T18:18:41.348640Z,277.565515,0.002837036,0.186867884,0.237373577,0.005493572,20.30264701,197971968,6
2026-02-11T18:18:51.348675Z,268.7042127,0.002849669,0.188877808,0.237775562,0.005750838,17.06211579,197971968,6
2026-02-11T18:19:01.348934Z,161.6675574,0.002844725,0.188108758,0.237621752,0.006127681,20.20626062,197963776,6
2026-02-11T18:19:11.349261Z,24.21912687,0.002818742,0.18367506,0.236735012,0.01376627,21.2298392,198217728,6
2026-02-11T18:19:21.349708Z,46.14135895,0.002639359,0.107954964,0.221590993,0.006531297,17.92145885,198217728,6
